Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR27013307_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	23.622263537346782	41.0	256.87367168018574	294	9.090909090909092	0.5582239999999999
SRR27013307_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	19.6209646022798	41.0	259.94636382527443	301	9.090909090909092	0.5582239999999999
SRR27013308_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	23.080183925514476	40.0	237.8259845222984	274	9.090909090909092	0.6349779999999999
SRR27013308_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	22.537235706528207	41.0	243.70241173709957	301	9.090909090909092	0.6349779999999999
SRR27013309_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	24.040540377525858	41.0	238.61800378601166	274	9.090909090909092	0.622819
SRR27013309_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	22.70766594950929	41.0	245.5316753342464	301	9.090909090909092	0.622819
SRR27013310_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	22.62204482011923	41.0	227.2515030285684	254	27.27272727272727	0.621911
SRR27013310_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	21.936333817904156	41.0	234.38672494938987	294	18.181818181818183	0.621911
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	22.7278336213151	41.0	235.07982593178204	274	9.090909090909092	0.6343489999999999
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	21.896172330589934	41.0	241.7984910514559	301	9.090909090909092	0.6343489999999999
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	22.50848737803358	40.0	246.504823602466	294	9.090909090909092	0.537876
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	21.41988298749075	41.0	247.93915698041928	301	18.181818181818183	0.537876
SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	24.48149315412445	40.0	248.89517068770772	294	9.090909090909092	0.615305
SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	23.205174061310913	41.0	250.50889152534108	301	18.181818181818183	0.615305
SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	26.15449911744028	40.0	226.38706619988045	254	9.090909090909092	0.8197899999999999
SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	25.692710629370424	41.0	233.0334829651496	294	9.090909090909092	0.8197899999999999
SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	26.04753997889985	41.0	239.22226359166106	264	9.090909090909092	0.694286
SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	24.12519488657287	40.0	240.6178779147528	274	9.090909090909092	0.654215
SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	23.78629901919936	41.0	241.85472512858922	284	9.090909090909092	0.654215
SRR27013317_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	23.194060433168076	41.0	244.1425433643012	294	9.090909090909092	0.681782
SRR27013318_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	21.23581401235471	41.0	260.63949553408474	301	9.090909090909092	0.45477799999999996
