Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR27013276_2	25.191265281720234	41.0	242.5080440736704	294	9.090909090909092	0.7156199999999999
SRR27013277_1	22.91048984898096	40.0	278.14139600078846	301	9.090909090909092	0.502249
SRR27013277_2	18.82454945788544	40.0	278.2208645512485	301	9.090909090909092	0.502249
SRR27013278_1	28.044492486367048	41.0	262.5050711745115	301	9.090909090909092	0.662667
SRR27013278_2	23.528409327485676	41.0	262.58531736151036	301	9.090909090909092	0.662667
SRR27013279_1	26.404951286723673	41.0	276.7058414513376	301	9.090909090909092	0.569516
SRR27013279_2	20.87040601711253	41.0	276.8376059671721	301	9.090909090909092	0.569516
SRR27013280_1	30.2410439763881	41.0	264.8665542653692	301	9.090909090909092	0.7114389999999999
SRR27013280_2	25.847075607305342	41.0	264.9065443418199	301	9.090909090909092	0.7114389999999999
SRR27013281_1	19.8336483819554	40.0	283.0484543275251	301	9.090909090909092	0.44718399999999997
SRR27013281_2	17.072637453225596	40.0	283.1679845432752	301	9.090909090909092	0.44718399999999997
SRR27013282_1	28.266991534616295	41.0	264.5240404520059	301	9.090909090909092	0.673885
SRR27013282_2	23.728571644013357	41.0	264.6294508706975	301	9.090909090909092	0.673885
SRR27013283_1	34.075330951004986	41.0	236.5173734776235	274	9.090909090909092	1.021183
SRR27013283_2	31.337140831955352	41.0	236.3542229943115	274	9.090909090909092	1.021183
SRR27013284_1	34.45216727451168	41.0	239.14676886312546	284	9.090909090909092	1.036957
SRR27013284_2	30.713691659175353	41.0	239.10779183707714	284	9.090909090909092	1.036957
SRR27013285_1	32.4900378349583	41.0	236.87983002590286	274	9.090909090909092	0.93426
SRR27013285_2	28.529738484197367	41.0	236.9482488814677	274	9.090909090909092	0.93426
SRR27013286_1	31.890548255610042	41.0	248.93411986184543	294	9.090909090909092	0.8706189999999999
SRR27013286_2	27.425224691989186	41.0	248.94647658734763	294	9.090909090909092	0.8706189999999999
SRR27013287_1	24.85570784318287	40.0	270.767914107915	301	9.090909090909092	0.585572
SRR27013287_2	21.03193832334071	40.0	270.8061152172577	301	9.090909090909092	0.585572
SRR27013288_1	23.440372249399942	40.0	272.55654021449016	301	9.090909090909092	0.518905
SRR27013288_2	19.43873384113536	41.0	272.6044073578015	301	9.090909090909092	0.518905
SRR27013289_1	29.3217762604354	41.0	265.6223395811531	301	9.090909090909092	0.680344
SRR27013289_2	24.1014887319278	41.0	265.66657455640086	301	9.090909090909092	0.680344
SRR27013290_1	30.645562239646935	41.0	244.35518181974845	294	9.090909090909092	0.812398
