Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
SRR27013329_2	(19.0, 56.0)	(20.0, 1999.0)	(21.0, 6905.0)	(22.0, 9777.0)	(23.0, 12031.0)	(24.0, 14635.0)	(25.0, 17849.0)	(26.0, 21163.0)	(27.0, 25618.0)	(28.0, 30900.0)	(29.0, 36822.0)	(30.0, 44190.0)	(31.0, 53004.0)	(32.0, 63985.0)	(33.0, 75659.0)	(34.0, 87362.0)	(35.0, 95659.0)	(36.0, 102580.0)	(37.0, 108996.0)			
SRR27013330_1	(19.0, 4.0)	(20.0, 60.0)	(21.0, 397.0)	(22.0, 846.0)	(23.0, 1457.0)	(24.0, 2473.0)	(25.0, 4108.0)	(26.0, 6545.0)	(27.0, 10220.0)	(28.0, 14724.0)	(29.0, 20661.0)	(30.0, 28016.0)	(31.0, 36387.0)	(32.0, 47712.0)	(33.0, 61482.0)	(34.0, 80743.0)	(35.0, 112068.0)	(36.0, 168676.0)	(37.0, 257437.0)			
SRR27013330_2	(18.0, 2.0)	(19.0, 106.0)	(20.0, 3267.0)	(21.0, 11201.0)	(22.0, 14498.0)	(23.0, 17247.0)	(24.0, 20437.0)	(25.0, 24145.0)	(26.0, 28077.0)	(27.0, 32482.0)	(28.0, 37516.0)	(29.0, 44232.0)	(30.0, 51094.0)	(31.0, 60310.0)	(32.0, 69495.0)	(33.0, 79900.0)	(34.0, 88293.0)	(35.0, 90495.0)	(36.0, 90523.0)	(37.0, 90696.0)		
SRR27013331_1	(30.0, 887572.0)																					
SRR27013331_2	(30.0, 887572.0)																					
SRR27013332_1	(30.0, 823906.0)																					
SRR27013332_2	(30.0, 823906.0)																					
SRR27013333_1	(30.0, 898356.0)																					
SRR27013333_2	(30.0, 898356.0)																					
SRR27013334_1	(30.0, 1069597.0)																					
SRR27013334_2	(30.0, 1069597.0)																					
SRR27013335_1	(30.0, 837038.0)																					
SRR27013335_2	(30.0, 837038.0)																					
SRR27013336_1	(19.0, 5.0)	(20.0, 54.0)	(21.0, 274.0)	(22.0, 593.0)	(23.0, 1021.0)	(24.0, 1853.0)	(25.0, 3125.0)	(26.0, 5157.0)	(27.0, 8142.0)	(28.0, 12123.0)	(29.0, 17032.0)	(30.0, 23663.0)	(31.0, 31488.0)	(32.0, 41352.0)	(33.0, 53589.0)	(34.0, 71772.0)	(35.0, 100554.0)	(36.0, 157568.0)	(37.0, 267671.0)			
SRR27013336_2	(18.0, 1.0)	(19.0, 98.0)	(20.0, 3419.0)	(21.0, 11381.0)	(22.0, 14802.0)	(23.0, 17663.0)	(24.0, 20195.0)	(25.0, 23387.0)	(26.0, 26993.0)	(27.0, 30627.0)	(28.0, 35581.0)	(29.0, 41111.0)	(30.0, 47340.0)	(31.0, 55041.0)	(32.0, 63404.0)	(33.0, 72566.0)	(34.0, 80299.0)	(35.0, 83793.0)	(36.0, 83883.0)	(37.0, 85452.0)		
