"","fm_1","fm_2","fm_3","fm_4","m_1","m_2","m_3"
"SAOUHSC_00158",10.5680683156506,193.51692242977,217.22622295598,70.1739885432574,104.561018400016,23.5090470895126,119.211480516838
"SAOUHSC_00160",79.8476272738046,361.231588535571,407.579098742148,140.347977086515,207.287632968452,168.275284430195,536.794224051394
"SAOUHSC_00162",10.5680683156506,30.9627075887633,40.3100207547179,0,6.42041341052729,12.3731826786908,6.16611106121575
"SAOUHSC_00163",7.0453788771004,5.16045126479387,60.4650311320768,0,0,2.47463653573817,6.16611106121575
"SAOUHSC_00164",0,0,0,0,0,28.4583201609889,6.50867278683885
"SAOUHSC_00166",0,0,0,0,0,16.0851374822981,5.48098760996956
"SAOUHSC_00167",58.1243757360783,25.8022563239694,20.1550103773589,83.2572745428477,94.4717973263301,53.2046855183706,54.4673143740725
"SAOUHSC_00168",16.4392173799009,10.3209025295877,6.71833679245298,21.4090134538751,25.6816536421092,7.4239096072145,7.53635796370814
"SAOUHSC_00169",0,15.4813537943816,0,11.893896363264,0,0,0
"SAOUHSC_00170",0,0,10.0775051886795,0,1.83440383157923,7.4239096072145,4.79586415872336
"SAOUHSC_00171",51.666111765403,36.1231588535571,17.9155647798746,35.6816890897919,27.5160574736884,54.4420037862396,58.5780550815497
"SAOUHSC_00172",0,10.3209025295877,0,4.75755854530559,5.50321149473768,0,0
"SAOUHSC_00173",0,25.8022563239694,0,9.51511709061117,18.3440383157923,2.47463653573817,0
"SAOUHSC_00174",170.850437769685,5.16045126479387,17.9155647798746,4.75755854530559,69.7073456000106,19.7970922859053,36.3115429160483
"SAOUHSC_00176",15.2649875670509,5.16045126479387,15.6761191823903,0,7.3376153263169,4.94927307147633,21.9239504398782
"SAOUHSC_00177",113.900291846457,51.6045126479388,97.4158834905682,89.2042227244797,49.5289034526391,44.543457643287,49.6714502153491
"SAOUHSC_00178",71.6280185838541,0,67.1833679245298,29.7347409081599,18.3440383157923,37.1195480360725,67.1420982221271
"SAOUHSC_00179",12.9165279413507,0,15.6761191823903,20.2196238175487,33.0192689684261,24.7463653573817,50.3565736665953
"SAOUHSC_00180",64.5826397067537,51.6045126479388,73.9017047169828,76.1209367248894,49.5289034526391,51.9673672505015,33.9136108366867
"SAOUHSC_00181",50.4918819525529,5.16045126479387,33.5916839622649,35.6816890897919,29.3504613052676,27.2210018931198,96.2598449000904
"SAOUHSC_00182",0,0,13.436673584906,0,0,0,0.685123451246195
"SAOUHSC_00183",2.34845962570013,0,80.6200415094358,4.75755854530559,12.8408268210546,14.847819214429,8.90660486620053
